"source_id","source_name","author","title","description","url","url_to_image","published_at","content","top_article","engagement_reaction_count","engagement_comment_count","engagement_share_count","engagement_comment_plugin_count"
"reuters","Reuters","Reuters Editorial","""Illinois joins lawsuit to ask court to stop merger of T-Mobile, Sprint""","""Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc and Sprint Corp , the New York attorney general's office, which is leading the effort along with California, said Tuesday.""","https://www.reuters.com/article/us-sprint-m-a-tmobile-illinois-idUSKCN1VO27L","https://s3.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425830536&w=1200&r=LYNXNPEF821LL","2019-09-03T17:10:47Z","""WASHINGTON (Reuters) - Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc (TMUS.O) and Sprint Corp (S.N), the New York attorney general’s office, which is leading the effort along with California, s… [+180 chars]""",0,0,0,3057,0
"cbs-news","CBS News","CBS/AP","Stocks drop on new signs of trouble in manufacturing","A measure of manufacturing activity last month fell to a 3-year low — and this was before tariffs went into effect","https://www.cbsnews.com/news/stock-market-today-drop-on-manufacturing-sector-shrink/","https://cbsnews1.cbsistatic.com/hub/i/r/2019/09/03/1f347132-2902-40ba-a109-20a98cac073d/thumbnail/1200x630/ed0c9c2e484f4567660f6f40b8f21479/nyse-gettyimages-1161831191.jpg","2019-09-03T16:11:54Z","""<ul><li>U.S. manufacturing in August posted its worst reading since January 2016, showing that the sector is shrinking.</li><li>Stock markets responded by falling, led by heavy machinery makers and tech companies.</li><li>At the same time, new U.S. tariffs on… [+3111 chars]""",0,1,4,14,0
"cnn","CNN","""Nathaniel Meyersohn, CNN Business""","Walmart ends all handgun ammunition sales and asks customers not to carry guns into stores","""Walmart on Tuesday announced it will reduce its gun and ammunition sales, one month after more than 20 people were killed in a mass shooting at a Walmart in El Paso, Texas. Walmart also pressured Congress to enact gun safety measures.""","https://www.cnn.com/2019/09/03/business/walmart-ends-handgun-ammo-sales/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190903121706-walmart-shooting-memorial-restricted-super-tease.jpg","2019-09-03T17:00:05Z","""New York (CNN Business)Walmart on Tuesday announced it will reduce its gun and ammunition sales, one month after more than 20 people were killed in a mass shooting at a Walmart in El Paso, Texas. Walmart also pressured Congress to enact gun safety measures.\r\n… [+3861 chars]""",1,28550,9390,9282,0
"the-new-york-times","The New York Times","Daniel Victor","‘Dorian Won’t Budge’: Bahamas Hammered by Slow-Moving Hurricane","The storm has remained stationary but was expected to turn toward the United States and arrive near Florida by late Tuesday.","https://www.nytimes.com/2019/09/03/world/americas/hurricane-dorian-bahamas.html","https://static01.nyt.com/images/2019/09/03/world/03bahamas-dorian/03bahamas-dorian-facebookJumbo.jpg","2019-09-03T07:29:24Z","""Officials in the Bahamas had not yet determined the full scope of the damage there, with the relentless rains and winds making it difficult to reach many of the smaller islands struck by the hurricane. The storm was expected to continue to pound Grand Bahama … [+1201 chars]""",0,268,30,86,0
"espn","ESPN",null,"Sources: Urgency in Zeke talks; RB flying back","ESPN's Chris Mortensen and Adam Schefter are reporting that Ezekiel Elliott and the Cowboys are acting with a sense of urgency to finalize a deal in the next 24 hours that would allow the star running back to practice Wednesday and play Week 1.","http://espn.go.com/nfl/story/_/id/27527411/urgency-zeke-talks-rb-flying-back","https://a.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0808%2Fr581024_1296x729_16%2D9.jpg","2019-09-03T14:22:00Z","""Ezekiel Elliott and the Dallas Cowboys are acting with a sense of urgency to finalize a deal in the next 24 hours that would allow the star running back to practice Wednesday and play in Sunday's season opener against the New York Giants, sources told ESPN's … [+1329 chars]""",1,0,0,0,0
"cbs-news","CBS News","CBS News","Schools take steps to protect students in light of shootings","A new article on Slate's website examines the architectural developments schools are putting in place in light of the threat of school shootings. The author of that article Henry Grabar joined CBSN AM to talk about what he found.","https://www.cbsnews.com/video/schools-take-steps-to-protect-students-in-light-of-shootings/","https://cbsnews3.cbsistatic.com/hub/i/r/2019/09/03/20c3151c-6419-4c69-a265-820bc7790c7c/thumbnail/1200x630/040d3504595bd97683efe66939ce2ab6/0903-cbsn-am-schoolprotection-1925577-640x360.jpg","2019-09-03T15:31:43Z",null,0,0,0,1,0
"business-insider","Business Insider","Caroline Lupini","""Paying with a debit card is leaving money on the table, and 4 more reasons I only ever pay with credit""","""I never pay for things with a debit card because I prefer to use my credit card, where I'm always getting the equivalent of 2% back or more on my purchases. Credit cards also offer better protections, less liability in case of fraud, and more leverage with me…""","https://www.businessinsider.com/reasons-why-i-always-pay-credit-never-debit-card","https://amp.businessinsider.com/images/5d6e9e7c2e22af7ce80c4e15-1920-960.jpg","2019-09-03T17:44:43Z","""Nothing makes me cringe more than going to to stores and restaurants with my friends and watching them pay with cash or a debit card. Or worse, when the occasional person still pulls out a checkbook and writes a personal check, carefully noting their purchase… [+3749 chars]""",0,0,0,3,0
"the-irish-times","The Irish Times","Shauna Bowers","Limerick nursing home failed to investigate allegation of abuse","Health Information and Quality Authority inspected home after receiving information from third party","https://www.irishtimes.com/news/social-affairs/limerick-nursing-home-failed-to-investigate-allegation-of-abuse-1.4006351","https://www.irishtimes.com/polopoly_fs/1.4006341.1567512801!/image/image.jpg","2019-09-03T12:13:30Z","""A nursing home in Co Limerick failed to respond or investigate an allegation of abuse by a staff member of a resident, an independent report has found.\r\nThe Health Information and Quality Authority (Hiqa) inspected the Beech Lodge Care facility in Bruree, Co … [+3440 chars]""",0,0,0,0,0
"cnn","CNN","""Anneken Tappe, CNN Business""","US manufacturing sector shrinks for first time in three years","American manufacturing shrank for the first time in three years this summer.","https://www.cnn.com/2019/09/03/economy/ism-manufacturing-drop/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190903103718-us-plant-assembly-component-restricted-super-tease.jpg","2019-09-03T15:21:34Z",null,0,212,131,251,0
"reuters","Reuters","Marianna Parraga","Venezuelan oil exports fall to lowest level in 2019 as U.S. sanctions bite: data","""Venezuela's oil exports fell in August to their lowest level in 2019, internal reports and Refinitiv Eikon data showed, hurt by a halt in purchases by the nation's second largest customer, China National Petroleum Corp (CNPC), following tougher U.S. sanctions.""","https://in.reuters.com/article/venezuela-oil-exports-idINKCN1VO1YI","https://s2.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425808931&w=1200&r=LYNXNPEF821FF","2019-09-03T15:49:25Z","""(Reuters) - Venezuela’s oil exports fell in August to their lowest level in 2019, internal reports and Refinitiv Eikon data showed, hurt by a halt in purchases by the nation’s second largest customer, China National Petroleum Corp (CNPC), following tougher U.… [+4156 chars]""",0,0,0,0,0
